model_id,model_name,group,type,test_accuracy,test_loss,training_time_seconds,epochs_trained,best_epoch,total_params
1,FC Baseline,A,FC,0.8812999725341797,0.33216655254364014,77.9,16,11,101770
2,Narrow Deep FC,A,FC,0.8840000033378601,0.3410814702510834,65.9,18,13,59210
3,Wide Shallow FC,A,FC,0.8892999887466431,0.32665884494781494,129.1,19,14,407050
4,Baseline CNN,B,CNN,0.9070000052452087,0.262831449508667,198.5,14,9,225034
5,Deep CNN,B,CNN,0.9236999750137329,0.23260512948036194,736.7,13,8,1205866
6,Very Deep CNN,B,CNN,0.9136000275611877,0.24027873575687408,6576.2,11,6,4778602
7,Wide CNN,B,CNN,0.9126999974250793,0.25538983941078186,648.6,11,6,1937674
8,CNN + Dropout,C,CNN,0.9086999893188477,0.24334044754505157,399.2,20,18,225034
9,CNN + BatchNorm,C,CNN,0.8964999914169312,0.28260794281959534,248.7,8,3,225930
10,CNN + Skip Connections,D,CNN,0.9190000295639038,0.2320282906293869,14750.8,11,6,1255146
